合同号,客户名,合同标题,合同总额,已回款,应收未结,合同到期日,原关闭原因,关闭时间,负责人,签订人
HZJT20240139,杭州檀香阁科技有限公司,杭州檀香阁科技有限公司-危化品专家意见书（锦泰）-2024年,7000.00,0,7000.00,2024-08-30 16:00:00,overdue_terminated,2026-06-26 10:00:06,徐德国,杨殿斌
QT-HT-2026-3201,杭州索恩势界贸易有限公司,杭州索恩势界贸易有限公司-其它-2026年,7000.00,0,7000.00,2026-02-07 16:00:00,overdue_terminated,2026-06-26 10:00:06,孙国茗,孙国茗
QT-HT-2026-1575,杭州海玄标牌有限公司,杭州海玄标牌有限公司-标准化换证（锦泰）-2022年,7000.00,0,7000.00,2023-03-30 16:00:00,overdue_terminated,2026-06-26 10:00:04,沈琳莉,倪越昌
QT-HT-2026-1604,杭州亿展新材料有限公司,杭州亿展新材料有限公司-社会化服务-2022年,7000.00,0,7000.00,2023-04-17 16:00:00,overdue_terminated,2026-06-26 10:00:05,段绘新,朱越华
QT-HT-2026-3067,杭州敏程科技有限公司,杭州敏程科技有限公司-安全生产台账（锦泰）-2024年,6500.00,0,6500.00,2025-12-02 16:00:00,overdue_terminated,2026-06-26 10:00:07,沈陈强,沈陈强
HZQT20240090,杭州金达塑业有限公司,杭州金达塑业有限公司-社会化服务-2024年,18000.00,12000.00,6000.00,2027-03-07 16:00:00,,2026-06-25 08:00:32,何俊,何俊
HZQT20240364,杭州鸿旷机械有限公司,杭州鸿旷机械有限公司-风险管控-2024年,6000.00,0,6000.00,2024-11-29 16:00:00,overdue_terminated,2026-06-26 10:00:06,李文俊,李文俊
QT-HT-2026-0934,杭州天汇数控科技有限公司,杭州天汇数控科技有限公司-社会化服务（锦泰）-2021年,6000.00,0,6000.00,2022-06-16 16:00:00,overdue_terminated,2026-06-26 10:00:03,俞红霞,吴增苗
HZJT2024083,杭州百耀包装科技有限公司,杭州百耀包装科技有限公司-安全生产台账（锦泰）-2024年,6000.00,0,6000.00,2025-04-18 16:00:00,overdue_terminated,2026-06-26 10:00:06,丁婷芳,丁婷芳
QT-HT-2026-2782,杭州超涵包装制品有限公司,杭州超涵包装制品有限公司-危化品专家意见书-2023年,6000.00,0,6000.00,2023-11-29 16:00:00,overdue_terminated,2026-06-26 10:00:07,段绘新,赵丽琴
QT-HT-2026-2688,杭州正盟环保工程有限公司,杭州正盟环保工程有限公司-风险管控-2023年,6000.00,0,6000.00,2024-08-31 16:00:00,overdue_terminated,2026-06-26 10:00:05,陈尔平,沈琳莉
QT-HT-2026-2799,杭州昱好塑料包装有限公司,杭州昱好塑料包装有限公司-危化品专家意见书-2023年,6000.00,0,6000.00,2024-10-30 16:00:00,overdue_terminated,2026-06-26 10:00:07,段绘新,赵丽琴
HZJT20240283,杭州双喜轴承配件有限公司,杭州双喜轴承配件有限公司-安全生产台账（锦泰）-2024年,6000.00,0,6000.00,2025-11-18 16:00:00,overdue_terminated,2026-06-26 10:00:06,沈陈强,沈陈强
QT-HT-2026-0977,杭州龙跃冷拉钢丝厂,杭州龙跃冷拉钢丝厂-社会化服务（锦泰）-2021年,18000.00,12000.00,6000.00,2024-06-22 16:00:00,,2026-06-23 03:18:57,沈陈强,姜发水
QT-HT-2026-3226,杭州上腾自动化仪表有限公司,杭州上腾自动化仪表有限公司-危化品专家意见书-2026年,6000.00,0,6000.00,2026-04-29 16:00:00,overdue_terminated,2026-06-28 16:00:05,徐德国,朱越华
QT-HT-2026-3235,杭州气韵联芯科技有限公司,杭州气韵联芯科技有限公司-风险管控-2026年,6000.00,0,6000.00,2026-04-29 16:00:00,overdue_terminated,2026-06-28 16:00:05,杨殿斌,沈琳莉
HZJT20240151,（园区）杭州茵锦科技有限公司,（园区）杭州茵锦科技有限公司-安全生产台账（锦泰）-2024年,16500.00,11000.00,5500.00,2027-07-18 16:00:00,,2026-06-25 08:00:32,丁婷芳,丁婷芳
QT-HT-2026-3004,杭州雅轩丝绸有限公司,杭州雅轩丝绸有限公司-安全生产台账-2024年,15000.00,10000.00,5000.00,2027-04-08 16:00:00,,2026-06-25 08:00:32,孙国茗,孙国茗
HZJT20250063,杭州鑫辰防水科技有限公司,杭州鑫辰防水科技有限公司-安全生产台账（锦泰）-2025年,5000.00,0,5000.00,2026-02-24 16:00:00,overdue_terminated,2026-06-26 10:00:06,沈陈强,沈陈强
HZJT20250275,杭州银玛机械设备制造有限公司,杭州银玛机械设备制造有限公司-安全生产台账（锦泰）-2025年,5000.00,0,5000.00,2026-03-18 16:00:00,overdue_terminated,2026-06-26 10:00:06,施佳鑫,陈尔平
QT-HT-2026-2165,杭州杭子木业有限公司,杭州杭子木业有限公司-安全生产台账（锦泰）-2023年,5000.00,0,5000.00,2024-04-15 16:00:00,overdue_terminated,2026-06-26 10:00:06,施佳鑫,吴增苗
HZQT20240279,杭州华帆织造有限公司,杭州华帆织造有限公司-安全生产台账-2024年,15000.00,10000.00,5000.00,2027-07-20 16:00:00,,2026-06-25 08:00:32,丁婷芳,丁婷芳
QT-HT-2026-1986,杭州大爱服饰有限公司,杭州大爱服饰有限公司-社会化服务（锦泰）-2023年,15000.00,10000.00,5000.00,2026-02-09 16:00:00,,2026-06-23 03:18:57,沈陈强,沈琳莉
HZQT20250170,杭州智雅木业有限公司,杭州智雅木业有限公司-风险管控（锦泰）-2025年,5000.00,0,5000.00,2025-08-30 16:00:00,overdue_terminated,2026-06-26 10:00:06,陈涛,陈涛
QT-HT-2026-1731,杭州海的动力机械股份有限公司,杭州海的动力机械股份有限公司-社会化服务-2022年,10000.00,5000.00,5000.00,2023-08-13 16:00:00,overdue_terminated,2026-06-26 10:00:03,段绘新,段绘新
HZQT20240216,杭州余杭区塘栖镇天叶洗涤服务部,杭州余杭区塘栖镇天叶洗涤服务部-安全生产台账-2024年,5000.00,0,5000.00,2025-05-08 16:00:00,overdue_terminated,2026-06-26 10:00:06,赵丽琴,赵丽琴
